File: main
Build ID: 987c2a02c47d9fbd7685eb9a0f711410b42ed45c
Type: cpu
Time: 2026-02-06 12:21:32 IST
Duration: 30s, Total samples = 880ms ( 2.93%)
Showing nodes accounting for 880ms, 100% of 880ms total
      flat  flat%   sum%        cum   cum%
         0     0%   100%       20ms  2.27%  strings.genSplit
         0     0%   100%       10ms  1.14%  sync.(*Cond).Wait
         0     0%   100%       10ms  1.14%  sync.(*Pool).Get
         0     0%   100%       10ms  1.14%  sync.(*Pool).pin
         0     0%   100%       10ms  1.14%  sync.(*Pool).pinSlow
         0     0%   100%       20ms  2.27%  syscall.BytePtrFromString (inline)
         0     0%   100%       20ms  2.27%  syscall.ByteSliceFromString
         0     0%   100%       10ms  1.14%  syscall.Close
         0     0%   100%       20ms  2.27%  syscall.Open (inline)
         0     0%   100%      140ms 15.91%  syscall.RawSyscall6
         0     0%   100%       50ms  5.68%  syscall.Read (inline)
         0     0%   100%      160ms 18.18%  syscall.Syscall
         0     0%   100%      100ms 11.36%  syscall.Write (inline)
         0     0%   100%       20ms  2.27%  syscall.openat
         0     0%   100%       50ms  5.68%  syscall.read
         0     0%   100%      100ms 11.36%  syscall.write
         0     0%   100%       10ms  1.14%  time.Time.AppendFormat
         0     0%   100%       10ms  1.14%  time.Time.appendFormat
